Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$75,000 under $100,000",13116," 11,622 ", 190 
"$100,000 under $200,000",13116," 18,920 ", 195 
"$200,000 or more",13116, . , * 
,,,
,13118," 63,765 "," 2,504 "
"Under $10,000",13118, 106 , 481 
"$10,000 under $25,000",13118," 2,843 ", 576 
"$25,000 under $50,000",13118," 13,340 ", 670 
"$50,000 under $75,000",13118," 16,612 ", 404 
"$75,000 under $100,000",13118," 12,859 ", 212 
"$100,000 under $200,000",13118," 14,604 ", 148 
"$200,000 or more",13118," 3,401 ", 13 
,,,
,13120," 27,601 "," 1,085 "
"Under $10,000",13120, 37 , 198 
"$10,000 under $25,000",13120," 1,175 ", 270 
"$25,000 under $50,000",13120," 6,457 ", 323 
"$50,000 under $75,000",13120," 6,346 ", 157 
"$75,000 under $100,000",13120," 4,519 ", 72 
"$100,000 under $200,000",13120," 5,089 ", 54 
"$200,000 or more",13120," 3,978 ", 11 
,,,
,13122," 13,171 ", 488 
"Under $10,000",13122, 24 , 93 
"$10,000 under $25,000",13122, 523 , 109 
"$25,000 under $50,000",13122," 1,979 ", 97 
"$50,000 under $75,000",13122," 3,063 ", 81 
"$75,000 under $100,000",13122," 2,996 ", 51 
"$100,000 under $200,000",13122," 4,585 ", 47 
"$200,000 or more",13122, -   , 10 
,,,
,13123," 5,956 ", 258 
"Under $10,000",13123, -   , 59 
"$10,000 under $25,000",13123, 277 , 61 
"$25,000 under $50,000",13123," 1,036 ", 58 
"$50,000 under $75,000",13123," 1,828 ", 43 
"$75,000 under $100,000",13123," 1,532 ", 24 
"$100,000 under $200,000",13123," 1,282 ", 13 
"$200,000 or more",13123, . , * 
,,,
,13126," 449,580 "," 14,548 "
"Under $10,000",13126, 708 ," 2,980 "
"$10,000 under $25,000",13126," 16,799 "," 3,309 "
"$25,000 under $50,000",13126," 67,055 "," 3,292 "
"$50,000 under $75,000",13126," 83,248 "," 2,013 "
"$75,000 under $100,000",13126," 84,819 "," 1,349 "
"$100,000 under $200,000",13126," 142,949 "," 1,452 "
"$200,000 or more",13126," 54,003 ", 153 
,,,
,13131," 42,169 "," 1,720 "
"Under $10,000",13131, 55 , 316 
"$10,000 under $25,000",13131," 1,725 ", 378 
"$25,000 under $50,000",13131," 9,458 ", 479 
"$50,000 under $75,000",13131," 10,789 ", 266 
"$75,000 under $100,000",13131," 9,884 ", 161 
"$100,000 under $200,000",13131," 10,257 ", 110 
"$200,000 or more",13131, -   , 10 
,,,
,13132," 57,354 "," 1,968 "
"Under $10,000",13132, 88 , 355 
"$10,000 under $25,000",13132," 2,106 ", 433 
"$25,000 under $50,000",13132," 9,446 ", 473 
"$50,000 under $75,000",13132," 11,756 ", 297 
"$75,000 under $100,000",13132," 11,748 ", 193 
"$100,000 under $200,000",13132," 19,411 ", 204 
"$200,000 or more",13132," 2,800 ", 13 
,,,
,13135," 89,796 "," 3,107 "
"Under $10,000",13135, 143 , 586 
"$10,000 under $25,000",13135," 3,626 ", 719 
"$25,000 under $50,000",13135," 14,503 ", 752 
"$50,000 under $75,000",13135," 17,026 ", 428 
"$75,000 under $100,000",13135," 17,348 ", 289 
"$100,000 under $200,000",13135," 27,365 ", 293 
"$200,000 or more",13135," 9,785 ", 40 
,,,
,13140," 43,766 "," 2,034 "
"Under $10,000",13140, 93 , 401 
"$10,000 under $25,000",13140," 2,453 ", 518 
"$25,000 under $50,000",13140," 10,909 ", 564 
"$50,000 under $75,000",13140," 12,743 ", 316 
"$75,000 under $100,000",13140," 9,731 ", 157 
"$100,000 under $200,000",13140," 7,837 ", 78 
"$200,000 or more",13140, . , * 
,,,
,13141," 8,751 ", 356 
"Under $10,000",13141, 20 , 64 
"$10,000 under $25,000",13141, 550 , 92 
"$25,000 under $50,000",13141," 2,341 ", 104 
"$50,000 under $75,000",13141," 1,715 ", 43 
"$75,000 under $100,000",13141," 2,269 ", 37 
"$100,000 under $200,000",13141," 1,856 ", 16 
"$200,000 or more",13141, . , * 
,,,
,13142," 78,700 "," 2,865 "
"Under $10,000",13142, 136 , 626 
"$10,000 under $25,000",13142," 3,207 ", 658 
"$25,000 under $50,000",13142," 12,853 ", 660 
"$50,000 under $75,000",13142," 17,430 ", 440 
"$75,000 under $100,000",13142," 14,132 ", 235 
"$100,000 under $200,000",13142," 22,649 ", 228 
"$200,000 or more",13142," 8,293 ", 18 
,,,
,13143," 29,828 "," 1,244 "
"Under $10,000",13143, 55 , 235 
"$10,000 under $25,000",13143," 1,368 ", 313 
"$25,000 under $50,000",13143," 6,450 ", 322 
"$50,000 under $75,000",13143," 8,098 ", 199 
"$75,000 under $100,000",13143," 6,289 ", 104 
"$100,000 under $200,000",13143," 7,568 ", 71 
"$200,000 or more",13143, . , * 
,,,
,13144," 10,653 ", 542 
"Under $10,000",13144, -   , 99 
"$10,000 under $25,000",13144, 645 , 150 
"$25,000 under $50,000",13144," 3,090 ", 158 
"$50,000 under $75,000",13144," 3,289 ", 86 
"$75,000 under $100,000",13144," 1,639 ", 28 
"$100,000 under $200,000",13144," 1,991 ", 21 
"$200,000 or more",13144, . , * 
,,,
,13145," 20,175 ", 839 
"Under $10,000",13145, 34 , 163 
"$10,000 under $25,000",13145, 927 , 217 
"$25,000 under $50,000",13145," 3,844 ", 207 
"$50,000 under $75,000",13145," 4,689 ", 119 
"$75,000 under $100,000",13145," 4,395 ", 71 
"$100,000 under $200,000",13145," 6,286 ", 62 
"$200,000 or more",13145, . , * 
,,,
,13146," 21,908 ", 953 
"Under $10,000",13146, 33 , 169 
"$10,000 under $25,000",13146," 1,205 ", 240 
"$25,000 under $50,000",13146," 5,568 ", 291 
"$50,000 under $75,000",13146," 5,387 ", 135 
"$75,000 under $100,000",13146," 4,540 ", 76 
"$100,000 under $200,000",13146," 5,174 ", 42 
"$200,000 or more",13146, . , * 
,,,
,13147," 16,068 ", 536 
"Under $10,000",13147, 28 , 98 
"$10,000 under $25,000",13147, 621 , 118 
"$25,000 under $50,000",13147," 2,860 ", 148 
"$50,000 under $75,000",13147," 3,482 ", 87 
"$75,000 under $100,000",13147," 3,193 ", 52 
"$100,000 under $200,000",13147," 5,885 ", 33 
"$200,000 or more",13147, . , * 
,,,
,13148," 140,920 "," 5,065 "
"Under $10,000",13148, 229 ," 1,013 "
"$10,000 under $25,000",13148," 6,008 "," 1,194 "
"$25,000 under $50,000",13148," 24,913 "," 1,204 "
"$50,000 under $75,000",13148," 31,005 ", 765 
"$75,000 under $100,000",13148," 27,677 ", 459 
"$100,000 under $200,000",13148," 36,002 ", 380 
"$200,000 or more",13148," 15,087 ", 50 
,,,
,13152," 296,464 "," 4,065 "
"Under $10,000",13152, 298 , 830 
"$10,000 under $25,000",13152," 3,228 ", 607 
"$25,000 under $50,000",13152," 12,778 ", 647 
"$50,000 under $75,000",13152," 21,723 ", 552 
"$75,000 under $100,000",13152," 23,698 ", 408 
"$100,000 under $200,000",13152," 64,108 ", 666 
"$200,000 or more",13152," 170,631 ", 355 
,,,
,13153," 33,883 ", 253 
"Under $10,000",13153, -   , 47 
"$10,000 under $25,000",13153, 364 , 51 
"$25,000 under $50,000",13153," 1,683 ", 78 
"$50,000 under $75,000",13153," 1,548 ", 36 
"$75,000 under $100,000",13153, 739 , 12 
"$100,000 under $200,000",13153," 1,433 ", 16 
"$200,000 or more",13153," 28,116 ", 13 
,,,
,13155," 6,225 ", 274 
"Under $10,000",13155, 15 , 51 
"$10,000 under $25,000",13155, 315 , 79 
"$25,000 under $50,000",13155," 1,287 ", 67 
"$50,000 under $75,000",13155," 1,576 ", 40 
"$75,000 under $100,000",13155," 1,456 ", 24 
"$100,000 under $200,000",13155," 1,576 ", 13 
"$200,000 or more",13155, . , * 
,,,
,13156," 20,101 ", 792 
"Under $10,000",13156, 14 , 150 
"$10,000 under $25,000",13156, 819 , 180 
"$25,000 under $50,000",13156," 3,569 ", 189 
"$50,000 under $75,000",13156," 6,177 ", 150 
"$75,000 under $100,000",13156," 3,886 ", 64 
"$100,000 under $200,000",13156," 5,635 ", 59 
"$200,000 or more",13156, . , * 
,,,
,13157," 10,093 ", 412 
"Under $10,000",13157, -   , 84 
"$10,000 under $25,000",13157, 438 , 106 
"$25,000 under $50,000",13157," 1,798 ", 86 
"$50,000 under $75,000",13157," 3,304 ", 81 
"$75,000 under $100,000",13157," 1,602 ", 27 
"$100,000 under $200,000",13157," 2,952 ", 28 
"$200,000 or more",13157, . , * 
,,,
,13158," 14,173 ", 648 
"Under $10,000",13158, 33 , 146 
"$10,000 under $25,000",13158, 662 , 155 
"$25,000 under $50,000",13158," 3,224 ", 166 
"$50,000 under $75,000",13158," 3,834 ", 96 
"$75,000 under $100,000",13158," 3,087 ", 51 
"$100,000 under $200,000",13158," 3,332 ", 34 
"$200,000 or more",13158, . , * 
,,,
,13159," 112,507 "," 2,516 "
"Under $10,000",13159, 187 , 465 
"$10,000 under $25,000",13159," 2,250 ", 442 
"$25,000 under $50,000",13159," 10,894 ", 536 
"$50,000 under $75,000",13159," 14,594 ", 370 
"$75,000 under $100,000",13159," 16,040 ", 269 
"$100,000 under $200,000",13159," 33,473 ", 346 
"$200,000 or more",13159," 35,070 ", 88 
,,,
,13160," 28,404 ", 970 
"Under $10,000",13160, 51 , 175 
"$10,000 under $25,000",13160," 1,090 ", 205 
"$25,000 under $50,000",13160," 4,895 ", 252 
"$50,000 under $75,000",13160," 5,358 ", 134 
"$75,000 under $100,000",13160," 6,906 ", 111 
"$100,000 under $200,000",13160," 10,104 ", 93 
"$200,000 or more",13160, . , * 
,,,
,13163," 6,219 ", 256 
"Under $10,000",13163, -   , 43 
"$10,000 under $25,000",13163, 305 , 57 
"$25,000 under $50,000",13163," 1,639 ", 79 
"$50,000 under $75,000",13163," 1,831 ", 45 
"$75,000 under $100,000",13163," 1,181 ", 19 
"$100,000 under $200,000",13163," 1,263 ", 13 
"$200,000 or more",13163, . , . 
,,,
,13164," 39,049 "," 1,114 "
"Under $10,000",13164, 73 , 204 
"$10,000 under $25,000",13164, 998 , 191 
"$25,000 under $50,000",13164," 4,290 ", 220 
"$50,000 under $75,000",13164," 6,692 ", 169 
"$75,000 under $100,000",13164," 9,318 ", 160 
"$100,000 under $200,000",13164," 14,553 ", 156 
"$200,000 or more",13164," 3,125 ", 14 
,,,
,13165," 123,065 "," 5,168 "
"Under $10,000",13165, 239 ," 1,041 "
"$10,000 under $25,000",13165," 6,349 "," 1,281 "
"$25,000 under $50,000",13165," 28,436 "," 1,414 "
"$50,000 under $75,000",13165," 31,370 ", 773 
"$75,000 under $100,000",13165," 24,218 ", 396 
"$100,000 under $200,000",13165," 23,022 ", 247 
"$200,000 or more",13165," 9,431 ", 16 
,,,
,13166," 73,522 "," 2,676 "
"Under $10,000",13166, 159 , 501 
"$10,000 under $25,000",13166," 3,192 ", 605 
"$25,000 under $50,000",13166," 13,877 ", 674 
"$50,000 under $75,000",13166," 17,863 ", 438 
"$75,000 under $100,000",13166," 15,703 ", 255 
"$100,000 under $200,000",13166," 17,392 ", 183 
"$200,000 or more",13166," 5,336 ", 20 
,,,
,13167," 45,968 "," 1,560 "
"Under $10,000",13167, 52 , 249 
"$10,000 under $25,000",13167," 1,739 ", 338 
"$25,000 under $50,000",13167," 7,877 ", 400 
"$50,000 under $75,000",13167," 10,303 ", 257 
"$75,000 under $100,000",13167," 10,305 ", 171 
"$100,000 under $200,000",13167," 12,111 ", 130 
"$200,000 or more",13167," 3,580 ", 15 
,,,
,13202," 33,534 "," 1,676 "
"Under $10,000",13202, 30 , 577 
"$10,000 under $25,000",13202," 2,488 ", 590 
"$25,000 under $50,000",13202," 6,208 ", 288 
"$50,000 under $75,000",13202," 4,840 ", 108 
"$75,000 under $100,000",13202," 2,756 ", 42 
"$100,000 under $200,000",13202," 5,322 ", 47 
"$200,000 or more",13202," 11,890 ", 24 
,,,
,13203," 140,961 "," 6,280 "
"Under $10,000",13203, 219 ," 1,470 "
"$10,000 under $25,000",13203," 10,489 "," 2,087 "
"$25,000 under $50,000",13203," 32,458 "," 1,590 "
"$50,000 under $75,000",13203," 21,899 ", 507 
"$75,000 under $100,000",13203," 16,555 ", 260 
"$100,000 under $200,000",13203," 27,247 ", 261 
"$200,000 or more",13203," 32,093 ", 105 
,,,
,13204," 117,424 "," 7,788 "
"Under $10,000",13204, 194 ," 2,046 "
"$10,000 under $25,000",13204," 12,831 "," 2,708 "
"$25,000 under $50,000",13204," 43,036 "," 2,077 "
"$50,000 under $75,000",13204," 24,968 ", 591 
"$75,000 under $100,000",13204," 12,783 ", 202 
"$100,000 under $200,000",13204," 12,930 ", 131 
"$200,000 or more",13204," 10,682 ", 33 
,,,
,13205," 124,258 "," 7,500 "
"Under $10,000",13205, 209 ," 1,914 "
"$10,000 under $25,000",13205," 10,228 "," 2,355 "
"$25,000 under $50,000",13205," 38,239 "," 1,947 "
"$50,000 under $75,000",13205," 30,603 ", 741 
"$75,000 under $100,000",13205," 18,954 ", 301 
"$100,000 under $200,000",13205," 22,041 ", 227 
"$200,000 or more",13205," 3,983 ", 15 
,,,
,13206," 183,799 "," 8,569 "
"Under $10,000",13206, 272 ," 1,599 "
"$10,000 under $25,000",13206," 13,892 "," 2,432 "
"$25,000 under $50,000",13206," 57,951 "," 2,656 "
"$50,000 under $75,000",13206," 46,214 "," 1,082 "
"$75,000 under $100,000",13206," 29,906 ", 475 
"$100,000 under $200,000",13206," 29,264 ", 299 
"$200,000 or more",13206," 6,299 ", 26 
,,,
,13207," 147,195 "," 6,314 "
"Under $10,000",13207, 210 ," 1,398 "
"$10,000 under $25,000",13207," 7,943 "," 1,694 "
"$25,000 under $50,000",13207," 33,657 "," 1,659 "
"$50,000 under $75,000",13207," 33,174 ", 787 
"$75,000 under $100,000",13207," 23,939 ", 388 
"$100,000 under $200,000",13207," 33,741 ", 336 
"$200,000 or more",13207," 14,530 ", 52 
,,,
,13208," 143,124 "," 9,234 "
"Under $10,000",13208, 285 ," 2,232 "
"$10,000 under $25,000",13208," 14,337 "," 3,065 "
"$25,000 under $50,000",13208," 52,302 "," 2,569 "
"$50,000 under $75,000",13208," 34,840 ", 840 
"$75,000 under $100,000",13208," 20,050 ", 327 
"$100,000 under $200,000",13208," 18,991 ", 190 
"$200,000 or more",13208," 2,321 ", 11 
,,,
,13209," 180,204 "," 6,817 "
"Under $10,000",13209, 293 ," 1,225 "
"$10,000 under $25,000",13209," 8,772 "," 1,698 "
"$25,000 under $50,000",13209," 36,944 "," 1,777 "
"$50,000 under $75,000",13209," 43,310 "," 1,049 "
"$75,000 under $100,000",13209," 35,373 ", 573 
"$100,000 under $200,000",13209," 43,268 ", 450 
"$200,000 or more",13209," 12,243 ", 45 
,,,
,13210," 145,780 "," 6,702 "
"Under $10,000",13210, 483 ," 1,905 "
"$10,000 under $25,000",13210," 11,364 "," 1,932 "
"$25,000 under $50,000",13210," 30,639 "," 1,434 "
"$50,000 under $75,000",13210," 27,126 ", 638 
"$75,000 under $100,000",13210," 23,154 ", 370 
"$100,000 under $200,000",13210," 36,500 ", 360 
"$200,000 or more",13210," 16,514 ", 63 
,,,
,13211," 64,732 "," 3,356 "
"Under $10,000",13211, 123 , 600 
"$10,000 under $25,000",13211," 5,066 ", 938 
"$25,000 under $50,000",13211," 22,763 "," 1,115 "
"$50,000 under $75,000",13211," 17,772 ", 438 
"$75,000 under $100,000",13211," 11,768 ", 190 
"$100,000 under $200,000",13211," 7,239 ", 75 
"$200,000 or more",13211, . , * 
,,,
,13212," 301,352 "," 10,546 "
"Under $10,000",13212, 505 ," 1,809 "
"$10,000 under $25,000",13212," 13,379 "," 2,352 "
"$25,000 under $50,000",13212," 60,531 "," 2,877 "
"$50,000 under $75,000",13212," 69,986 "," 1,697 "
"$75,000 under $100,000",13212," 60,463 ", 984 
"$100,000 under $200,000",13212," 72,566 ", 748 
"$200,000 or more",13212," 23,922 ", 79 
,,,
,13214," 166,257 "," 3,844 "
"Under $10,000",13214, 193 , 728 
"$10,000 under $25,000",13214," 3,301 ", 626 
"$25,000 under $50,000",13214," 17,036 ", 801 
"$50,000 under $75,000",13214," 25,658 ", 612 
"$75,000 under $100,000",13214," 26,918 ", 437 
"$100,000 under $200,000",13214," 55,736 ", 553 
"$200,000 or more",13214," 37,414 ", 87 
,,,
,13215," 362,237 "," 7,148 "
"Under $10,000",13215, 443 ," 1,378 "
"$10,000 under $25,000",13215," 6,072 "," 1,035 "
"$25,000 under $50,000",13215," 26,735 "," 1,236 "
"$50,000 under $75,000",13215," 39,150 ", 959 
"$75,000 under $100,000",13215," 48,585 ", 809 
"$100,000 under $200,000",13215," 134,330 "," 1,381 "
"$200,000 or more",13215," 106,921 ", 350 
,,,
,13219," 264,427 "," 8,161 "
"Under $10,000",13219, 465 ," 1,449 "
"$10,000 under $25,000",13219," 8,370 "," 1,534 "
"$25,000 under $50,000",13219," 43,068 "," 2,015 "
"$50,000 under $75,000",13219," 56,533 "," 1,379 "
"$75,000 under $100,000",13219," 53,647 ", 872 
"$100,000 under $200,000",13219," 79,901 ", 836 
"$200,000 or more",13219," 22,444 ", 76 
,,,
,13220," 10,441 ", 331 
"Under $10,000",13220, -   , 36 
"$10,000 under $25,000",13220, 370 , 70 
"$25,000 under $50,000",13220," 2,229 ", 105 
"$50,000 under $75,000",13220," 3,097 ", 72 
"$75,000 under $100,000",13220," 1,324 ", 23 
"$100,000 under $200,000",13220," 3,420 ", 25 
"$200,000 or more",13220, . , * 
,,,
,13224," 169,022 "," 4,167 "
"Under $10,000",13224, 181 , 792 
"$10,000 under $25,000",13224," 4,482 ", 899 
"$25,000 under $50,000",13224," 19,078 ", 936 
"$50,000 under $75,000",13224," 23,144 ", 550 
"$75,000 under $100,000",13224," 20,368 ", 327 
"$100,000 under $200,000",13224," 49,175 ", 494 
"$200,000 or more",13224," 52,595 ", 169 
,,,
,13302," 12,619 ", 657 
"Under $10,000",13302, 18 , 131 
"$10,000 under $25,000",13302, 857 , 205 
"$25,000 under $50,000",13302," 2,848 ", 157 
"$50,000 under $75,000",13302," 3,431 ", 92 
"$75,000 under $100,000",13302," 2,345 ", 40 
"$100,000 under $200,000",13302," 3,122 ", 32 
"$200,000 or more",13302, . , . 
,,,
,13303," 18,987 ", 539 
"Under $10,000",13303, 24 , 92 
"$10,000 under $25,000",13303, 620 , 109 
"$25,000 under $50,000",13303," 2,761 ", 135 
"$50,000 under $75,000",13303," 3,421 ", 84 
"$75,000 under $100,000",13303," 3,360 ", 55 
"$100,000 under $200,000",13303," 5,225 ", 52 
"$200,000 or more",13303," 3,578 ", 12 
,,,
,13304," 35,914 ", 907 
"Under $10,000",13304, 32 , 151 
"$10,000 under $25,000",13304," 1,140 ", 183 
"$25,000 under $50,000",13304," 3,912 ", 183 
"$50,000 under $75,000",13304," 5,688 ", 138 
"$75,000 under $100,000",13304," 6,016 ", 96 
"$100,000 under $200,000",13304," 12,171 ", 128 
"$200,000 or more",13304," 6,954 ", 28 
,,,
,13308," 35,097 "," 1,524 "
"Under $10,000",13308, 50 , 273 
"$10,000 under $25,000",13308," 2,039 ", 409 
"$25,000 under $50,000",13308," 8,318 ", 424 
"$50,000 under $75,000",13308," 9,134 ", 228 
"$75,000 under $100,000",13308," 6,281 ", 101 
"$100,000 under $200,000",13308," 9,276 ", 89 
"$200,000 or more",13308, . , * 
,,,
,13309," 65,665 "," 2,783 "
"Under $10,000",13309, 112 , 536 
"$10,000 under $25,000",13309," 3,633 ", 697 
"$25,000 under $50,000",13309," 15,504 ", 768 
"$50,000 under $75,000",13309," 16,418 ", 411 
"$75,000 under $100,000",13309," 13,347 ", 213 
"$100,000 under $200,000",13309," 13,318 ", 146 
"$200,000 or more",13309," 3,332 ", 12 
,,,
,13310," 7,249 ", 314 
"Under $10,000",13310, -   , 61 
"$10,000 under $25,000",13310, 428 , 72 
"$25,000 under $50,000",13310," 1,731 ", 94 
"$50,000 under $75,000",13310," 1,805 ", 44 
"$75,000 under $100,000",13310," 2,058 ", 31 
"$100,000 under $200,000",13310," 1,227 ", 12 
"$200,000 or more",13310, . , . 
,,,
,13313," 5,257 ", 319 
"Under $10,000",13313, -   , 68 
"$10,000 under $25,000",13313, 569 , 98 
"$25,000 under $50,000",13313," 1,575 ", 90 
"$50,000 under $75,000",13313," 1,756 ", 45 
"$75,000 under $100,000",13313," 1,357 ", 18 
"$100,000 under $200,000",13313, . , * 
"$200,000 or more",13313, . , * 
,,,
,13314," 4,537 ", 252 
"Under $10,000",13314, -   , 44 
"$10,000 under $25,000",13314, 308 , 75 
"$25,000 under $50,000",13314," 1,453 ", 73 
"$50,000 under $75,000",13314," 1,538 ", 37 
"$75,000 under $100,000",13314, -   , 10 
"$100,000 under $200,000",13314," 1,237 ", 13 
"$200,000 or more",13314, . , * 
,,,
,13315," 13,220 ", 590 
"Under $10,000",13315, 14 , 115 
"$10,000 under $25,000",13315, 558 , 132 
"$25,000 under $50,000",13315," 3,356 ", 177 
"$50,000 under $75,000",13315," 3,301 ", 81 
"$75,000 under $100,000",13315," 3,696 ", 59 
"$100,000 under $200,000",13315," 2,295 ", 26 
"$200,000 or more",13315, . , * 
,,,
,13316," 68,523 "," 2,865 "
"Under $10,000",13316, 86 , 505 
"$10,000 under $25,000",13316," 3,646 ", 701 
"$25,000 under $50,000",13316," 15,557 ", 819 
"$50,000 under $75,000",13316," 17,647 ", 442 
"$75,000 under $100,000",13316," 13,887 ", 229 
"$100,000 under $200,000",13316," 17,700 ", 169 
"$200,000 or more",13316, . , * 
,,,
,13317," 38,660 "," 1,672 "
"Under $10,000",13317, 85 , 313 
"$10,000 under $25,000",13317," 1,935 ", 382 
"$25,000 under $50,000",13317," 9,339 ", 484 
"$50,000 under $75,000",13317," 10,468 ", 261 
"$75,000 under $100,000",13317," 7,907 ", 129 
"$100,000 under $200,000",13317," 8,927 ", 93 
"$200,000 or more",13317, -   , 10 
,,,
,13318," 14,164 ", 567 
"Under $10,000",13318, 34 , 106 
"$10,000 under $25,000",13318, 687 , 127 
"$25,000 under $50,000",13318," 3,032 ", 153 
"$50,000 under $75,000",13318," 3,565 ", 93 
"$75,000 under $100,000",13318," 3,104 ", 52 
"$100,000 under $200,000",13318," 3,743 ", 36 
"$200,000 or more",13318, . , * 
,,,
,13319," 9,670 ", 483 
"Under $10,000",13319, 14 , 94 
"$10,000 under $25,000",13319, 802 , 136 
"$25,000 under $50,000",13319," 2,794 ", 140 
"$50,000 under $75,000",13319," 2,508 ", 64 
"$75,000 under $100,000",13319," 1,968 ", 33 
"$100,000 under $200,000",13319," 1,584 ", 16 
"$200,000 or more",13319, . , * 
,,,
,13320," 19,426 ", 934 
"Under $10,000",13320, 14 , 200 
"$10,000 under $25,000",13320," 1,133 ", 233 
"$25,000 under $50,000",13320," 4,709 ", 252 
"$50,000 under $75,000",13320," 5,083 ", 128 
"$75,000 under $100,000",13320," 4,220 ", 68 
"$100,000 under $200,000",13320," 4,267 ", 43 
"$200,000 or more",13320, -   , 10 
,,,
,13321," 12,956 ", 604 
"Under $10,000",13321, 17 , 101 
"$10,000 under $25,000",13321, 997 , 170 
"$25,000 under $50,000",13321," 3,840 ", 185 
